iter	Passed	Remaining
0	375	374788
1	596	297901
2	804	267298
3	1052	261990
4	1291	257003
5	1545	256031
6	1739	246779
7	1961	243256
8	2153	237134
9	2397	237359
10	2640	237430
11	2881	237274
12	3134	237949
13	3357	236450
14	3593	235973
15	3832	235676
16	4068	235258
17	4299	234547
18	4548	234831
19	4760	233288
20	4980	232168
21	5201	231250
22	5445	231330
23	5683	231114
24	5929	231256
25	6184	231673
26	6427	231639
27	6687	232149
28	6940	232383
29	7218	233382
30	7471	233535
31	7724	233677
32	7968	233513
33	8261	234724
34	8512	234714
35	8749	234280
36	8837	230011
37	9095	230263
38	9343	230229
39	9587	230101
40	9843	230232
41	10092	230211
42	10351	230380
43	10596	230233
44	10852	230310
45	11108	230377
46	11353	230207
47	11593	229941
48	11865	230282
49	12125	230379
50	12410	230941
51	12650	230633
52	12898	230469
53	13116	229775
54	13351	229405
55	13595	229177
56	13815	228560
57	14080	228680
58	14307	228192
59	14544	227868
60	14781	227535
61	15037	227510
62	15256	226908
63	15497	226652
64	15765	226785
65	16033	226900
66	16300	226993
67	16562	227006
68	16826	227040
69	17071	226806
70	17330	226759
71	17587	226679
72	17824	226348
73	18079	226237
74	18327	226043
75	18552	225561
76	18850	225956
77	19151	226380
78	19377	225911
79	19618	225612
80	19849	225207
81	20104	225075
82	20357	224908
83	20580	224427
84	20802	223931
85	21066	223889
86	21312	223659
87	21556	223402
88	21790	223044
89	22036	222814
90	22305	222813
91	22581	222869
92	22811	222477
93	23062	222278
94	23322	222176
95	23576	222008
96	23834	221882
97	24075	221595
98	24324	221373
99	24575	221177
100	24821	220933
101	25069	220710
102	25325	220551
103	25579	220373
104	25835	220216
105	26098	220110
106	26363	220022
107	26633	219970
108	26874	219680
109	27171	219838
110	27449	219840
111	27800	220419
112	28114	220683
113	28371	220503
114	28670	220636
115	28941	220555
116	29235	220642
117	29489	220422
118	29747	220233
119	30001	220011
120	30253	219775
121	30485	219395
122	30723	219061
123	30994	218963
124	31322	219256
125	31633	219425
126	31962	219713
127	32218	219485
128	32553	219797
129	32860	219914
130	33128	219762
131	33448	219946
132	33775	220174
133	34104	220405
134	34369	220217
135	34603	219833
136	34945	220129
137	35274	220340
138	35600	220516
139	35926	220688
140	36258	220894
141	36555	220875
142	36885	221052
143	37181	221020
144	37504	221145
145	37811	221172
146	38136	221294
147	38452	221360
148	38767	221418
149	39068	221390
150	39332	221146
151	39549	220646
152	39795	220307
153	40050	220020
154	40318	219801
155	40595	219631
156	40888	219550
157	41164	219370
158	41441	219198
159	41693	218888
160	41993	218835
161	42300	218816
162	42587	218687
163	42895	218660
164	43169	218463
165	43457	218332
166	43761	218284
167	44055	218180
168	44350	218080
169	44647	217987
170	44986	218090
171	45250	217834
172	45568	217832
173	45859	217700
174	46122	217433
175	46422	217342
176	46706	217173
177	47010	217094
178	47288	216891
179	47559	216657
180	47818	216372
181	48093	216154
182	48363	215918
183	48592	215498
184	48892	215390
185	49181	215237
186	49485	215142
187	49785	215031
188	50113	215037
189	50442	215043
190	50755	214981
191	51072	214932
192	51376	214825
193	51651	214594
194	51935	214399
195	52214	214184
196	52497	213988
197	52765	213728
198	53008	213365
199	53265	213062
200	53509	212708
201	53784	212475
202	54047	212195
203	54336	212020
204	54620	211821
205	54905	211624
206	55191	211434
207	55491	211292
208	55734	210938
209	56032	210787
210	56313	210576
211	56592	210353
212	56889	210198
213	57179	210015
214	57459	209793
215	57720	209504
216	57984	209224
217	58274	209039
218	58572	208882
219	58839	208614
220	59081	208254
221	59362	208035
222	59645	207824
223	59924	207595
224	60192	207328
225	60438	206989
226	60718	206765
227	60978	206469
228	61235	206168
229	61524	205974
230	61775	205651
231	62026	205329
232	62280	205016
233	62526	204681
234	62770	204339
235	63023	204024
236	63298	203784
237	63575	203548
238	63853	203315
239	64122	203055
240	64385	202774
241	64643	202477
242	64904	202192
243	65154	201872
244	65396	201527
245	65633	201170
246	65877	200832
247	66136	200542
248	66388	200232
249	66656	199969
250	66914	199676
251	67127	199250
252	67402	199011
253	67691	198811
254	67936	198482
255	68198	198202
256	68460	197922
257	68722	197644
258	69011	197441
259	69258	197120
260	69504	196796
261	69767	196519
262	69996	196149
263	70228	195788
264	70500	195538
265	70740	195202
266	70982	194869
267	71233	194564
268	71491	194276
269	71721	193914
270	71967	193594
271	72217	193288
272	72459	192959
273	72718	192677
274	72977	192396
275	73237	192114
276	73467	191759
277	73742	191518
278	73968	191151
279	74225	190865
280	74483	190582
281	74741	190299
282	74998	190013
283	75243	189697
284	75498	189407
285	75756	189126
286	75989	188782
287	76238	188479
288	76480	188158
289	76717	187824
290	76972	187538
291	77173	187119
292	77445	186874
293	77726	186650
294	77982	186365
295	78231	186063
296	78483	185770
297	78728	185461
298	79009	185236
299	79265	184951
300	79513	184651
301	79776	184384
302	80025	184084
303	80253	183738
304	80498	183430
305	80744	183126
306	80969	182774
307	81213	182467
308	81476	182202
309	81728	181910
310	81999	181663
311	82281	181440
312	82538	181162
313	82770	180829
314	83032	180563
315	83290	180285
316	83538	179990
317	83796	179714
318	84068	179468
319	84348	179239
320	84605	178963
321	84898	178760
322	85143	178457
323	85379	178136
324	85639	177866
325	85895	177587
326	86150	177305
327	86396	177008
328	86654	176733
329	86896	176425
330	87158	176159
331	87368	175789
332	87634	175532
333	87886	175246
334	88142	174968
335	88411	174717
336	88653	174412
337	88905	174129
338	89152	173834
339	89389	173521
340	89639	173232
341	89835	172841
342	90088	172559
343	90343	172282
344	90600	172009
345	90853	171729
346	91129	171492
347	91360	171169
348	91579	170825
349	91813	170511
350	92088	170272
351	92330	169972
352	92565	169659
353	92802	169350
354	93060	169081
355	93317	168810
356	93569	168530
357	93816	168240
358	94076	167974
359	94334	167705
360	94576	167407
361	94825	167122
362	95062	166816
363	95307	166526
364	95548	166227
365	95803	165954
366	96066	165694
367	96334	165444
368	96598	165185
369	96841	164891
370	97097	164620
371	97333	164315
372	97585	164037
373	97828	163744
374	98072	163453
375	98305	163144
376	98553	162860
377	98801	162577
378	99047	162290
379	99288	161996
380	99528	161701
381	99758	161388
382	100013	161118
383	100270	160850
384	100518	160569
385	100795	160332
386	101067	160088
387	101346	159855
388	101632	159632
389	101868	159333
390	102121	159058
391	102360	158763
392	102601	158471
393	102860	158206
394	103116	157938
395	103377	157676
396	103621	157389
397	103870	157111
398	104100	156803
399	104332	156499
400	104612	156266
